Time (Secs)	CHAN1	CHAN2
-0.594	-9.53125	-0.45625
-0.592	-9.53125	-0.43125
-0.59	-9.53125	-0.434375
-0.588	-9.53125	-0.428125
-0.586	-9.6875	-0.44375
-0.584	-9.6875	-0.446875
-0.582	-9.84375	-0.46875
-0.58	-9.6875	-0.4375
-0.578	-9.84375	-0.465625
-0.576	-9.84375	-0.434375
-0.574	-10	-0.44375
-0.572	-9.84375	-0.43125
-0.57	-10	-0.4375
-0.568	-9.84375	-0.446875
-0.566	-10	-0.471875
-0.564	-9.84375	-0.45
-0.562	-10	-0.46875
-0.56	-9.84375	-0.4375
-0.558	-9.84375	-0.45
-0.556	-9.53125	-0.4375
-0.554	-9.6875	-0.446875
-0.552	-9.53125	-0.440625
-0.55	-9.6875	-0.478125
-0.548	-9.53125	-0.453125
-0.546	-9.53125	-0.475
-0.544	-9.53125	-0.4375
-0.542	-9.53125	-0.45
-0.54	-9.375	-0.4375
-0.538	-9.53125	-0.4375
-0.536	-9.21875	-0.4375
-0.534	-9.375	-0.465625
-0.532	-9.21875	-0.453125
-0.53	-9.21875	-0.465625
-0.528	-9.21875	-0.43125
-0.526	-9.21875	-0.45
-0.524	-9.0625	-0.43125
-0.522	-9.21875	-0.4375
-0.52	-9.0625	-0.43125
-0.518	-9.21875	-0.45625
-0.516	-8.90625	-0.453125
-0.514	-8.90625	-0.459375
-0.512	-8.75	-0.43125
-0.51	-8.90625	-0.45
-0.508	-8.75	-0.415625
-0.506	-8.75	-0.43125
-0.504	-8.59375	-0.425
-0.502	-8.75	-0.4375
-0.5	-8.59375	-0.44375
-0.498	-8.59375	-0.4625
-0.496	-8.59375	-0.425
-0.494	-8.59375	-0.446875
-0.492	-8.4375	-0.41875
-0.49	-8.59375	-0.425
-0.488	-8.28125	-0.41875
-0.486	-8.59375	-0.428125
-0.484	-8.28125	-0.43125
-0.482	-8.4375	-0.45
-0.48	-8.28125	-0.421875
-0.478	-8.28125	-0.446875
-0.476	-8.125	-0.415625
-0.474	-8.28125	-0.421875
-0.472	-8.125	-0.409375
-0.47	-8.125	-0.415625
-0.468	-7.96875	-0.415625
-0.466	-7.96875	-0.44375
-0.464	-7.96875	-0.41875
-0.462	-7.96875	-0.4375
-0.46	-7.8125	-0.403125
-0.458	-7.96875	-0.415625
-0.456	-7.65625	-0.403125
-0.454	-7.8125	-0.40625
-0.452	-7.65625	-0.40625
-0.45	-7.65625	-0.434375
-0.448	-7.5	-0.415625
-0.446	-7.65625	-0.434375
-0.444	-7.34375	-0.4
-0.442	-7.5	-0.4125
-0.44	-7.34375	-0.4
-0.438	-7.34375	-0.403125
-0.436	-7.34375	-0.4
-0.434	-7.34375	-0.425
-0.432	-7.1875	-0.415625
-0.43	-7.34375	-0.428125
-0.428	-7.1875	-0.396875
-0.426	-7.34375	-0.4125
-0.424	-7.03125	-0.390625
-0.422	-7.1875	-0.396875
-0.42	-6.875	-0.3875
-0.418	-7.03125	-0.4125
-0.416	-6.875	-0.409375
-0.414	-7.03125	-0.41875
-0.412	-6.875	-0.3875
-0.41	-6.875	-0.409375
-0.408	-6.71875	-0.3875
-0.406	-6.875	-0.390625
-0.404	-6.71875	-0.384375
-0.402	-6.71875	-0.4
-0.4	-6.5625	-0.403125
-0.398	-6.71875	-0.415625
-0.396	-6.5625	-0.390625
-0.394	-6.5625	-0.40625
-0.392	-6.40625	-0.38125
-0.39	-6.5625	-0.390625
-0.388	-6.40625	-0.38125
-0.386	-6.40625	-0.384375
-0.384	-6.25	-0.3875
-0.382	-6.40625	-0.4125
-0.38	-6.25	-0.38125
-0.378	-6.25	-0.40625
-0.376	-6.09375	-0.375
-0.374	-6.25	-0.378125
-0.372	-6.09375	-0.375
-0.37	-6.09375	-0.378125
-0.368	-6.09375	-0.38125
-0.366	-6.09375	-0.409375
-0.364	-5.9375	-0.3875
-0.362	-6.09375	-0.403125
-0.36	-5.78125	-0.371875
-0.358	-5.9375	-0.384375
-0.356	-5.78125	-0.371875
-0.354	-5.78125	-0.378125
-0.352	-5.625	-0.375
-0.35	-5.78125	-0.403125
-0.348	-5.625	-0.384375
-0.346	-5.625	-0.403125
-0.344	-5.46875	-0.375
-0.342	-5.625	-0.384375
-0.34	-5.46875	-0.371875
-0.338	-5.46875	-0.375
-0.336	-5.46875	-0.371875
-0.334	-5.46875	-0.4
-0.332	-5.3125	-0.390625
-0.33	-5.46875	-0.403125
-0.328	-5.15625	-0.36875
-0.326	-5.3125	-0.3875
-0.324	-5.15625	-0.365625
-0.322	-5.15625	-0.375
-0.32	-5	-0.3625
-0.318	-5.15625	-0.384375
-0.316	-4.84375	-0.384375
-0.314	-5	-0.39375
-0.312	-4.84375	-0.365625
-0.31	-4.84375	-0.384375
-0.308	-4.84375	-0.3625
-0.306	-4.84375	-0.365625
-0.304	-4.6875	-0.359375
-0.302	-4.84375	-0.378125
-0.3	-4.53125	-0.38125
-0.298	-4.6875	-0.390625
-0.296	-4.53125	-0.3625
-0.294	-4.53125	-0.38125
-0.292	-4.53125	-0.35625
-0.29	-4.53125	-0.365625
-0.288	-4.375	-0.35625
-0.286	-4.53125	-0.365625
-0.284	-4.21875	-0.371875
-0.282	-4.375	-0.3875
-0.28	-4.21875	-0.359375
-0.278	-4.375	-0.38125
-0.276	-4.0625	-0.353125
-0.274	-4.21875	-0.359375
-0.272	-4.0625	-0.346875
-0.27	-4.21875	-0.353125
-0.268	-4.0625	-0.35625
-0.266	-4.0625	-0.384375
-0.264	-3.75	-0.359375
-0.262	-4.0625	-0.378125
-0.26	-3.75	-0.346875
-0.258	-3.75	-0.359375
-0.256	-3.59375	-0.34375
-0.254	-3.75	-0.35625
-0.252	-3.59375	-0.35
-0.25	-3.75	-0.378125
-0.248	-3.4375	-0.3625
-0.246	-3.59375	-0.378125
-0.244	-3.4375	-0.34375
-0.242	-3.4375	-0.359375
-0.24	-3.28125	-0.340625
-0.238	-3.4375	-0.353125
-0.236	-3.28125	-0.34375
-0.234	-3.4375	-0.375
-0.232	-3.125	-0.365625
-0.23	-3.28125	-0.375
-0.228	-3.125	-0.34375
-0.226	-3.28125	-0.359375
-0.224	-3.125	-0.3375
-0.222	-3.125	-0.346875
-0.22	-2.96875	-0.34375
-0.218	-2.96875	-0.365625
-0.216	-2.8125	-0.365625
-0.214	-2.96875	-0.375
-0.212	-2.8125	-0.334375
-0.21	-2.96875	-0.3625
-0.208	-2.8125	-0.334375
-0.206	-2.8125	-0.340625
-0.204	-2.65625	-0.3375
-0.202	-2.8125	-0.353125
-0.2	-2.5	-0.35625
-0.198	-2.65625	-0.371875
-0.196	-2.5	-0.340625
-0.194	-2.65625	-0.3625
-0.192	-2.5	-0.334375
-0.19	-2.65625	-0.340625
-0.188	-2.34375	-0.328125
-0.186	-2.5	-0.340625
-0.184	-2.1875	-0.34375
-0.182	-2.34375	-0.36875
-0.18	-2.1875	-0.334375
-0.178	-2.1875	-0.35625
-0.176	-2.03125	-0.328125
-0.174	-2.1875	-0.334375
-0.172	-2.03125	-0.321875
-0.17	-2.03125	-0.328125
-0.168	-2.03125	-0.328125
-0.166	-2.03125	-0.35625
-0.164	-1.875	-0.334375
-0.162	-2.03125	-0.35625
-0.16	-1.71875	-0.325
-0.158	-1.875	-0.33125
-0.156	-1.71875	-0.31875
-0.154	-1.875	-0.325
-0.152	-1.5625	-0.321875
-0.15	-1.71875	-0.35625
-0.148	-1.5625	-0.334375
-0.146	-1.71875	-0.353125
-0.144	-1.5625	-0.31875
-0.142	-1.5625	-0.334375
-0.14	-1.40625	-0.31875
-0.138	-1.5625	-0.321875
-0.136	-1.25	-0.31875
-0.134	-1.40625	-0.35
-0.132	-1.25	-0.334375
-0.13	-1.25	-0.35625
-0.128	-1.09375	-0.321875
-0.126	-1.25	-0.334375
-0.124	-1.09375	-0.31875
-0.122	-1.25	-0.321875
-0.12	-0.9375	-0.31875
-0.118	-1.09375	-0.340625
-0.116	-0.9375	-0.34375
-0.114	-0.9375	-0.353125
-0.112	-0.9375	-0.325
-0.11	-0.9375	-0.340625
-0.108	-0.78125	-0.315625
-0.106	-0.9375	-0.321875
-0.104	-0.625	-0.31875
-0.102	-0.78125	-0.334375
-0.1	-0.625	-0.3375
-0.098	-0.625	-0.353125
-0.096	-0.625	-0.325
-0.094	-0.625	-0.346875
-0.092	-0.46875	-0.321875
-0.09	-0.625	-0.325
-0.088	-0.3125	-0.31875
-0.086	-0.46875	-0.328125
-0.084	-0.3125	-0.334375
-0.082	-0.3125	-0.353125
-0.08	-0.3125	-0.33125
-0.078	-0.3125	-0.35
-0.076	-0.15625	-0.321875
-0.074	-0.3125	-0.33125
-0.072	0	-0.315625
-0.07	-0.15625	-0.325
-0.068	0	-0.325
-0.066	0	-0.353125
-0.064	0	-0.33125
-0.062	0	-0.353125
-0.06	0.3125	-0.315625
-0.058	0.15625	-0.328125
-0.056	0.3125	-0.315625
-0.054	0.15625	-0.31875
-0.052	0.3125	-0.321875
-0.05	0.3125	-0.35
-0.048	0.46875	-0.340625
-0.046	0.3125	-0.353125
-0.044	0.46875	-0.315625
-0.042	0.3125	-0.334375
-0.04	0.625	-0.315625
-0.038	0.46875	-0.321875
-0.036	0.625	-0.315625
-0.034	0.625	-0.346875
-0.032	0.625	-0.3375
-0.03	0.625	-0.353125
-0.028	0.9375	-0.321875
-0.026	0.78125	-0.3375
-0.024	0.9375	-0.315625
-0.022	0.78125	-0.321875
-0.02	0.9375	-0.31875
-0.018	0.9375	-0.340625
-0.016	1.09375	-0.340625
-0.014	0.9375	-0.353125
-0.012	1.25	-0.315625
-0.01	1.09375	-0.3375
-0.008	1.25	-0.315625
-0.006	1.25	-0.321875
-0.004	1.25	-0.315625
-0.002	1.25	-0.328125
2.08167E-17	1.40625	-0.3375
0.002	1.25	-0.35
0.004	1.5625	-0.321875
0.006	1.40625	-0.34375
0.008	1.5625	-0.315625
0.01	1.40625	-0.321875
0.012	1.5625	-0.315625
0.014	1.5625	-0.321875
0.016	1.5625	-0.328125
0.018	1.5625	-0.346875
0.02	1.875	-0.321875
0.022	1.5625	-0.34375
0.024	1.875	-0.3125
0.026	1.875	-0.321875
0.028	1.875	-0.3125
0.03	1.875	-0.31875
0.032	2.03125	-0.31875
0.034	1.875	-0.34375
0.036	2.03125	-0.321875
0.038	2.03125	-0.340625
0.04	2.1875	-0.309375
0.042	2.03125	-0.321875
0.044	2.1875	-0.309375
0.046	2.1875	-0.3125
0.048	2.34375	-0.3125
0.05	2.1875	-0.35
0.052	2.5	-0.328125
0.054	2.34375	-0.34375
0.056	2.5	-0.309375
0.058	2.34375	-0.325
0.06	2.5	-0.30625
0.062	2.5	-0.3125
0.064	2.65625	-0.309375
0.066	2.5	-0.334375
0.068	2.8125	-0.328125
0.07	2.65625	-0.3375
0.072	2.8125	-0.30625
0.074	2.65625	-0.325
0.076	2.8125	-0.303125
0.078	2.8125	-0.309375
0.08	2.96875	-0.303125
0.082	2.8125	-0.325
0.084	2.96875	-0.325
0.086	2.96875	-0.33125
0.088	3.125	-0.303125
0.09	3.125	-0.321875
0.092	3.125	-0.29375
0.094	3.125	-0.303125
0.096	3.28125	-0.296875
0.098	3.125	-0.309375
0.1	3.4375	-0.31875
0.102	3.125	-0.33125
0.104	3.4375	-0.3
0.106	3.28125	-0.325
0.108	3.4375	-0.29375
0.11	3.4375	-0.3
0.112	3.59375	-0.29375
0.114	3.4375	-0.3
0.116	3.59375	-0.303125
0.118	3.4375	-0.33125
0.12	3.75	-0.296875
0.122	3.75	-0.321875
0.124	3.75	-0.290625
0.126	3.75	-0.296875
0.128	3.90625	-0.290625
0.13	3.75	-0.29375
0.132	4.0625	-0.29375
0.134	3.75	-0.321875
0.136	4.21875	-0.3
0.138	4.0625	-0.31875
0.14	4.21875	-0.290625
0.142	4.0625	-0.3
0.144	4.21875	-0.284375
0.146	4.21875	-0.290625
0.148	4.375	-0.284375
0.15	4.21875	-0.315625
0.152	4.375	-0.303125
0.154	4.375	-0.315625
0.156	4.53125	-0.2875
0.158	4.21875	-0.296875
0.16	4.53125	-0.284375
0.162	4.53125	-0.2875
0.164	4.6875	-0.284375
0.166	4.53125	-0.309375
0.168	4.84375	-0.303125
0.17	4.6875	-0.3125
0.172	4.84375	-0.284375
0.174	4.84375	-0.3
0.176	4.84375	-0.284375
0.178	4.84375	-0.2875
0.18	5	-0.278125
0.182	4.84375	-0.3
0.184	5.15625	-0.3
0.186	5	-0.3125
0.188	5.15625	-0.28125
0.19	5.15625	-0.3
0.192	5.15625	-0.275
0.194	5.15625	-0.28125
0.196	5.3125	-0.278125
0.198	5.15625	-0.290625
0.2	5.46875	-0.29375
0.202	5.3125	-0.3125
0.204	5.46875	-0.28125
0.206	5.46875	-0.303125
0.208	5.46875	-0.275
0.21	5.46875	-0.28125
0.212	5.625	-0.271875
0.214	5.46875	-0.284375
0.216	5.78125	-0.2875
0.218	5.625	-0.30625
0.22	5.78125	-0.278125
0.222	5.78125	-0.3
0.224	5.78125	-0.271875
0.226	5.78125	-0.28125
0.228	5.9375	-0.265625
0.23	5.78125	-0.275
0.232	6.09375	-0.275
0.234	6.09375	-0.3
0.236	6.09375	-0.284375
0.238	6.09375	-0.3
0.24	6.09375	-0.265625
0.242	6.09375	-0.2875
0.244	6.25	-0.265625
0.246	6.09375	-0.271875
0.248	6.40625	-0.265625
0.25	6.40625	-0.296875
0.252	6.40625	-0.278125
0.254	6.40625	-0.296875
0.256	6.40625	-0.265625
0.258	6.40625	-0.278125
0.26	6.5625	-0.2625
0.262	6.40625	-0.265625
0.264	6.71875	-0.265625
0.266	6.5625	-0.2875
0.268	6.71875	-0.278125
0.27	6.71875	-0.29375
0.272	6.875	-0.2625
0.274	6.71875	-0.278125
0.276	6.875	-0.2625
0.278	6.71875	-0.2625
0.28	7.03125	-0.25625
0.282	6.875	-0.284375
0.284	7.03125	-0.284375
0.286	7.03125	-0.29375
0.288	7.03125	-0.265625
0.29	7.03125	-0.28125
0.292	7.1875	-0.265625
0.294	7.03125	-0.271875
0.296	7.34375	-0.2625
0.298	7.1875	-0.28125
0.3	7.34375	-0.2875
0.302	7.34375	-0.29375
0.304	7.5	-0.265625
0.306	7.34375	-0.2875
0.308	7.5	-0.2625
0.31	7.5	-0.265625
0.312	7.65625	-0.253125
0.314	7.5	-0.265625
0.316	7.65625	-0.271875
0.318	7.65625	-0.290625
0.32	7.8125	-0.265625
0.322	7.65625	-0.2875
0.324	7.8125	-0.25625
0.326	7.65625	-0.265625
0.328	7.96875	-0.25
0.33	7.8125	-0.259375
0.332	7.96875	-0.253125
0.334	7.96875	-0.28125
0.336	8.125	-0.25625
0.338	7.96875	-0.28125
0.34	8.28125	-0.246875
0.342	8.125	-0.25625
0.344	8.28125	-0.2375
0.346	8.28125	-0.246875
0.348	8.28125	-0.2375
0.35	8.28125	-0.271875
0.352	8.4375	-0.25625
0.354	8.28125	-0.275
0.356	8.59375	-0.2375
0.358	8.28125	-0.253125
0.36	8.75	-0.23125
0.362	8.59375	-0.240625
0.364	8.59375	-0.2375
0.366	8.59375	-0.2625
0.368	8.75	-0.259375
0.37	8.59375	-0.26875
0.372	8.75	-0.23125
0.374	8.75	-0.253125
0.376	8.90625	-0.228125
0.378	8.75	-0.234375
0.38	8.90625	-0.228125
0.382	8.90625	-0.25
0.384	9.0625	-0.253125
0.386	8.90625	-0.265625
0.388	9.0625	-0.228125
0.39	8.90625	-0.253125
0.392	9.21875	-0.225
0.394	9.0625	-0.228125
0.396	9.21875	-0.225
0.398	9.21875	-0.2375
0.4	9.375	-0.24375
0.402	9.21875	-0.25625
0.404	9.53125	-0.225
0.406	9.375	-0.25625
0.408	9.53125	-0.221875
0.41	9.375	-0.225
0.412	9.53125	-0.215625
0.414	9.53125	-0.225
0.416	9.6875	-0.228125
0.418	9.53125	-0.246875
0.42	9.84375	-0.221875
0.422	9.53125	-0.246875
0.424	9.84375	-0.215625
0.426	9.6875	-0.221875
0.428	9.84375	-0.2125
0.43	9.84375	-0.21875
0.432	9.84375	-0.21875
0.434	9.84375	-0.246875
0.436	9.84375	-0.225
0.438	9.84375	-0.246875
0.44	9.84375	-0.2125
0.442	9.53125	-0.225
0.444	9.6875	-0.215625
0.446	9.53125	-0.21875
0.448	9.53125	-0.215625
0.45	9.53125	-0.246875
0.452	9.53125	-0.234375
0.454	9.53125	-0.24375
0.456	9.53125	-0.21875
0.458	9.375	-0.234375
0.46	9.375	-0.21875
0.462	9.21875	-0.225
0.464	9.375	-0.21875
0.466	9.21875	-0.25
0.468	9.21875	-0.24375
0.47	9.0625	-0.25625
0.472	9.21875	-0.221875
0.474	9.0625	-0.240625
0.476	9.0625	-0.225
0.478	8.90625	-0.228125
0.48	8.90625	-0.225
0.482	8.90625	-0.24375
0.484	8.90625	-0.25
0.486	8.90625	-0.2625
0.488	8.90625	-0.23125
0.49	8.75	-0.246875
0.492	8.75	-0.228125
0.494	8.59375	-0.234375
0.496	8.59375	-0.225
0.498	8.59375	-0.246875
0.5	8.59375	-0.25625
0.502	8.59375	-0.2625
0.504	8.59375	-0.2375
0.506	8.4375	-0.259375
0.508	8.4375	-0.23125
0.51	8.28125	-0.2375
0.512	8.4375	-0.234375
0.514	8.28125	-0.240625
0.516	8.28125	-0.24375
0.518	8.28125	-0.265625
0.52	8.28125	-0.246875
0.522	8.125	-0.26875
0.524	8.28125	-0.240625
0.526	7.96875	-0.246875
0.528	7.96875	-0.2375
0.53	7.96875	-0.24375
0.532	7.96875	-0.246875
0.534	7.96875	-0.278125
0.536	7.96875	-0.25625
0.538	7.8125	-0.28125
0.54	7.8125	-0.24375
0.542	7.65625	-0.2625
0.544	7.65625	-0.24375
0.546	7.65625	-0.25
0.548	7.65625	-0.24375
0.55	7.5	-0.28125
0.552	7.65625	-0.26875
0.554	7.34375	-0.284375
0.556	7.5	-0.253125
0.558	7.34375	-0.26875
0.56	7.34375	-0.253125
0.562	7.34375	-0.2625
0.564	7.34375	-0.25
0.566	7.1875	-0.284375
0.568	7.34375	-0.284375
0.57	7.1875	-0.290625
0.572	7.1875	-0.2625
0.574	7.03125	-0.284375
0.576	7.03125	-0.25625
0.578	7.03125	-0.26875
0.58	7.03125	-0.2625
0.582	7.03125	-0.290625
0.584	7.03125	-0.290625
0.586	6.875	-0.303125
0.588	6.875	-0.271875
0.59	6.71875	-0.29375
0.592	6.71875	-0.26875
0.594	6.71875	-0.275
0.596	6.71875	-0.26875
0.598	6.5625	-0.284375
0.6	6.71875	-0.2875
0.602	6.5625	-0.303125
0.604	6.5625	-0.278125
0.606	6.40625	-0.3
0.608	6.40625	-0.275
0.61	6.40625	-0.278125
0.612	6.40625	-0.271875
0.614	6.40625	-0.28125
0.616	6.40625	-0.2875
0.618	6.25	-0.30625
0.62	6.25	-0.2875
0.622	6.09375	-0.30625
0.624	6.09375	-0.278125
0.626	6.09375	-0.284375
0.628	6.09375	-0.275
0.63	5.9375	-0.278125
0.632	5.9375	-0.278125
0.634	5.9375	-0.3125
0.636	5.9375	-0.2875
0.638	5.78125	-0.309375
0.64	5.78125	-0.278125
0.642	5.78125	-0.284375
0.644	5.78125	-0.278125
0.646	5.625	-0.28125
0.648	5.625	-0.278125
0.65	5.46875	-0.3125
0.652	5.625	-0.303125
0.654	5.46875	-0.315625
0.656	5.46875	-0.284375
0.658	5.46875	-0.3
0.66	5.46875	-0.284375
0.662	5.46875	-0.2875
0.664	5.3125	-0.284375
0.666	5.15625	-0.3125
0.668	5.3125	-0.3125
0.67	5.15625	-0.321875
0.672	5.15625	-0.290625
0.674	5	-0.309375
0.676	5.15625	-0.290625
0.678	5.15625	-0.29375
0.68	5	-0.290625
0.682	4.84375	-0.309375
0.684	4.84375	-0.315625
0.686	4.84375	-0.321875
0.688	4.84375	-0.296875
0.69	4.84375	-0.31875
0.692	4.84375	-0.290625
0.694	4.84375	-0.296875
0.696	4.84375	-0.290625
0.698	4.53125	-0.303125
0.7	4.6875	-0.309375
0.702	4.53125	-0.325
0.704	4.53125	-0.303125
0.706	4.53125	-0.321875
0.708	4.53125	-0.29375
0.71	4.375	-0.3
0.712	4.375	-0.296875
0.714	4.21875	-0.30625
0.716	4.375	-0.3125
0.718	4.21875	-0.33125
0.72	4.21875	-0.3125
0.722	4.21875	-0.33125
0.724	4.21875	-0.303125
0.726	4.0625	-0.309375
0.728	4.21875	-0.303125
0.73	4.0625	-0.30625
0.732	4.0625	-0.30625
0.734	3.75	-0.3375
0.736	3.90625	-0.315625
0.738	3.75	-0.3375
0.74	3.90625	-0.309375
0.742	3.75	-0.31875
0.744	3.75	-0.30625
0.746	3.4375	-0.3125
0.748	3.59375	-0.309375
0.75	3.4375	-0.34375
0.752	3.4375	-0.33125
0.754	3.4375	-0.353125
0.756	3.4375	-0.3125
0.758	3.4375	-0.328125
0.76	3.4375	-0.315625
0.762	3.28125	-0.315625
0.764	3.4375	-0.309375
0.766	3.28125	-0.340625
0.768	3.28125	-0.334375
0.77	3.125	-0.34375
0.772	3.125	-0.315625
0.774	3.125	-0.334375
